village,adjmatrix_key,HHnum_in_village,hhid,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,rooftypeoth,room_no,bed_no,electricity,latrine,ownrent,hhSurveyed,leader
35,107,107,35107,2,MINORITY,0,1,0,0,0,,2,1,1,3,1,1,0
35,108,108,35108,2,MINORITY,0,0,0,0,0,MUD,5,1,1,3,1,1,0
35,109,109,35109,1,GENERAL,0,0,0,0,1,,4,2,1,1,1,0,0
35,110,110,35110,1,SCHEDULE TRIBE,0,0,0,1,0,,3,1,1,1,3,0,0
35,111,111,35111,2,MINORITY,0,0,0,0,1,,3,1,1,1,1,0,0
35,112,112,35112,1,GENERAL,0,0,0,0,1,,2,0,1,1,3,0,0
35,113,113,35113,2,MINORITY,0,0,0,0,1,,2,1,1,1,3,1,0
35,114,114,35114,1,SCHEDULE TRIBE,0,0,0,1,0,,1,0,1,2,3,1,0
35,115,115,35115,1,SCHEDULE TRIBE,0,0,0,1,0,,2,0,1,2,3,1,0
35,116,116,35116,2,MINORITY,0,0,0,1,0,,2,0,1,2,3,1,0
